source,target
MEL1,YJL092W
Q0085,YCR106W
TORF1,YCR106W
TORF19,YDR361C
TORF21,YKR048C
TORF47,YCR106W
YAL005C,YBR101C
YAL012W,YAL012W
YAL016W,YIL065C
YAL016W,YNL127W
YAL020C,YBL071WA
YAL021C,YJL112W
YAL021C,YMR124W
YAL021C,YMR181C
YAL021C,YNR052C
YAL024C,YHR158C
YAL027W,YPL022W
YAL028W,YDL239C
YAL032C,YDR416W
YAL032C,YDR448W
YAL032C,YDR532C
YAL032C,YJL112W
YAL032C,YLR345W
YAL032C,YLR423C
YAL032C,YNL229C
YAL032C,YPL151C
YAL034WA,YGL172W
YAL034WA,YGR120C
YAL034WA,YJR112W
YAL034WA,YKL103C
YAL036C,YDR152W
YAL036C,YDR448W
YAL036C,YLR423C
YAL036C,YOR174W
YAL040C,YJL013C
YAL041W,YBR200W
YAL044WA,YDR098C
YAL044WA,YER174C
YAL044WA,YNL218W
YAL044WA,YNL249C
YAL046C,YDR098C
YAL046C,YER174C
YAL046C,YKR034W
YAL049C,YNL094W
YAL054C,YDR216W
YAL054C,YLR049C
YAL054C,YNL189W
YAL055W,YDL100C
YAL055W,YGR133W
YAL060W,YER081W
YAL062W,YLR267W
YAR003W,YBR175W
YAR003W,YDR140W
YAR007C,YJL173C
YAR014C,YER133W
YAR018C,YAR018C
YAR027W,YAR027W
YAR027W,YAR028W
YAR027W,YBR042C
YAR027W,YDR100W
YAR027W,YDR411C
YAR027W,YEL042W
YAR027W,YER087CA
YAR027W,YGL104C
YAR027W,YGL225W
YAR027W,YGR284C
YAR027W,YJL097W
YAR027W,YJL117W
YAR027W,YJR013W
YAR027W,YJR044C
YAR027W,YLR279W
YAR027W,YLR350W
YAR027W,YML055W
YAR027W,YMR071C
YAR027W,YNL219C
YAR027W,YNL263C
YAR027W,YNL315C
YAR027W,YOL129W
YAR027W,YPL020C
YAR027W,YPR113W
YAR027W,YPR159CA
YAR028W,YAR028W
YAR028W,YJL097W
YAR031W,YBR217W
YAR031W,YCR030C
YAR033W,YAR033W
YAR033W,YGL051W
YAR033W,YPR113W
YAR035W,YER024W
YAR066W,YDR074W
YBL001C,YBL001C
YBL006C,YDR489W
YBL007C,YHR016C
YBL010C,YKR022C
YBL014C,YJL025W
YBL016W,YDR480W
YBL016W,YPL049C
YBL020W,YDR479C
YBL020W,YIR038C
YBL021C,YGL237C
YBL021C,YOR358W
YBL023C,YDR122W
YBL023C,YDR473C
YBL023C,YLR096W
YBL023C,YLR291C
YBL023C,YMR314W
YBL023C,YPL144W
YBL023C,YPR019W
YBL025W,YMR270C
YBL026W,YCR077C
YBL026W,YGR158C
YBL026W,YLR438CA
YBL033C,YBL033C
YBL033C,YNL105W
YBL033C,YPR172W
YBL035C,YNL102W
YBL037W,YFR043C
YBL037W,YJR058C
YBL037W,YKL103C
YBL039C,YJR103W
YBL042C,YER021W
YBL043W,YBL101WA
YBL043W,YDR099W
YBL045C,YPR191W
YBL046W,YNL201C
YBL047C,YCR030C
YBL047C,YGR241C
YBL051C,YIL151C
YBL051C,YKR096W
YBL056W,YDR071C
YBL057C,YMR276W
YBL058W,YDL190C
YBL058W,YFL044C
YBL058W,YLR291C
YBL058W,YNL155W
YBL060W,YOR094W
YBL068W,YOL061W
YBL069W,YDR100W
YBL077W,YBL077W
YBL078C,YHR171W
YBL078C,YNL223W
YBL078C,YNR007C
YBL078C,YOL083W
YBL081W,YDL167C
YBL091C,YGR142W
YBL091CA,YDR479C
YBL091CA,YIR038C
YBL091CA,YML029W
YBL091CA,YPL094C
YBL093C,YML051W
YBL101C,YNL225C
YBL101WA,YFL002WA
YBL101WA,YJL162C
YBL101WA,YNL229C
YBL102W,YGR068C
YBL102W,YLR453C
YBL102W,YOR036W
YBL105C,YML109W
YBR006W,YBR006W
YBR006W,YDR382W
YBR006W,YKL023W
YBR019C,YBR019C
YBR029C,YIR033W
YBR029C,YIR038C
YBR030W,YLR244C
YBR034C,YGR165W
YBR034C,YIL061C
YBR038W,YPR106W
YBR040W,YCL040W
YBR041W,YDL153C
YBR042C,YER081W
YBR052C,YDR032C
YBR055C,YLR446W
YBR055C,YPR082C
YBR056W,YFR007W
YBR057C,YCL055W
YBR057C,YDR206W
YBR057C,YER018C
YBR057C,YGL036W
YBR057C,YGL192W
YBR057C,YHL004W
YBR057C,YJL025W
YBR057C,YJL058C
YBR057C,YJL085W
YBR057C,YPL135W
YBR059C,YBR059C
YBR059C,YER144C
YBR059C,YGL213C
YBR059C,YML014W
YBR072W,YBR072W
YBR072W,YBR261C
YBR072W,YDL239C
YBR072W,YML064C
YBR072W,YNL189W
YBR077C,YGR201C
YBR077C,YKR007W
YBR077C,YMR004W
YBR080C,YBR080C
YBR080C,YBR261C
YBR080C,YIL046W
YBR080C,YJL030W
YBR080C,YLR291C
YBR080C,YNL189W
YBR080C,YNL288W
YBR080C,YPL070W
YBR087W,YDR229W
YBR087W,YJR068W
YBR088C,YDR510W
YBR094W,YLR264W
YBR094W,YOL149W
YBR102C,YLR423C
YBR103W,YGR262C
YBR103W,YHL004W
YBR103W,YIL112W
YBR103W,YJR141W
YBR103W,YMR061W
YBR103W,YPL173W
YBR107C,YDR421W
YBR107C,YDR489W
YBR107C,YGL071W
YBR107C,YHR113W
YBR108W,YCR009C
YBR108W,YDR388W
YBR108W,YGR136W
YBR109C,YGL106W
YBR111C,YLR245C
YBR111C,YPL070W
YBR122C,YGR211W
YBR123C,YLR423C
YBR125C,YDR071C
YBR126C,YBR126C
YBR126C,YML100W
YBR126C,YMR261C
YBR126WA,YIR038C
YBR130C,YBR130C
YBR131W,YGL124C
YBR133C,YDL154W
YBR133C,YGL187C
YBR134W,YCR106W
YBR134W,YOR128C
YBR135W,YBR160W
YBR135W,YBR252W
YBR135W,YDL155W
YBR135W,YER102W
YBR135W,YGR108W
YBR135W,YPR119W
YBR137W,YBR137W
YBR137W,YML064C
YBR137W,YMR047C
YBR137W,YNL189W
YBR141C,YDR372C
YBR141C,YGL091C
YBR150C,YOL089C
YBR150C,YOR174W
YBR152W,YGR075C
YBR153W,YBR153W
YBR154C,YFL023W
YBR155W,YER081W
YBR156C,YPL209C
YBR162WA,YPL094C
YBR166C,YBR166C
YBR166C,YLR291C
YBR170C,YDL126C
YBR170C,YDL190C
YBR170C,YGR048W
YBR176W,YBR176W
YBR176W,YLR347C
YBR176W,YML064C
YBR176W,YNL189W
YBR176W,YPL070W
YBR182C,YER125W
YBR182C,YLR423C
YBR186W,YBR261C
YBR186W,YLR032W
YBR187W,YNR032W
YBR188C,YDR416W
YBR188C,YKR034W
YBR188C,YLR117C
YBR188C,YMR124W
YBR190W,YLR117C
YBR193C,YER022W
YBR193C,YGL127C
YBR193C,YGR104C
YBR193C,YLR295C
YBR194W,YMR070W
YBR194W,YPR152C
YBR195C,YLR017W
YBR195C,YPR018W
YBR196C,YGL229C
YBR198C,YGL112C
YBR200W,YJL157C
YBR201W,YML029W
YBR205W,YIR038C
YBR205W,YPR107C
YBR212W,YDL167C
YBR212W,YPL184C
YBR216C,YML007W
YBR217W,YHR171W
YBR217W,YLR423C
YBR217W,YMR159C
YBR217W,YPL149W
YBR221C,YKL117W
YBR221C,YLR345W
YBR222C,YDL006W
YBR223C,YDR510W
YBR228W,YLR135W
YBR233W,YBR233W
YBR233W,YBR261C
YBR233W,YDR116C
YBR233W,YDR473C
YBR233W,YGL122C
YBR233W,YIL079C
YBR233W,YKL074C
YBR233W,YLR291C
YBR233W,YMR294WA
YBR233W,YNL075W
YBR233W,YNL288W
YBR234C,YDL029W
YBR234C,YDR063W
YBR237W,YDR073W
YBR239C,YPL133C
YBR241C,YDR479C
YBR241C,YIR033W
YBR241C,YIR038C
YBR242W,YBR242W
YBR243C,YIR038C
YBR244W,YCR086W
YBR244W,YLR117C
YBR244W,YLR345W
YBR246W,YDR520C
YBR247C,YKL159C
YBR249C,YDR510W
YBR252W,YBR252W
YBR252W,YLR291C
YBR252W,YNL189W
YBR253W,YMR112C
YBR254C,YDR472W
YBR254C,YKR068C
YBR255W,YIL106W
YBR260C,YDR239C
YBR260C,YER144C
YBR260C,YGR196C
YBR260C,YMR032W
YBR260C,YNL094W
YBR261C,YCL028W
YBR261C,YCR007C
YBR261C,YDR032C
YBR261C,YDR100W
YBR261C,YDR256C
YBR261C,YER086W
YBR261C,YFL059W
YBR261C,YGL037C
YBR261C,YGR088W
YBR261C,YGR267C
YBR261C,YHL018W
YBR261C,YHR074W
YBR261C,YHR111W
YBR261C,YHR112C
YBR261C,YHR113W
YBR261C,YIL074C
YBR261C,YJL151C
YBR261C,YJL199C
YBR261C,YJL218W
YBR261C,YKL151C
YBR261C,YLL001W
YBR261C,YLR098C
YBR261C,YLR245C
YBR261C,YLR438CA
YBR261C,YML042W
YBR261C,YMR021C
YBR261C,YMR095C
YBR261C,YNL044W
YBR261C,YNL239W
YBR261C,YOL143C
YBR261C,YOR095C
YBR261C,YOR108W
YBR261C,YOR192CA
YBR261C,YOR284W
YBR261C,YPL049C
YBR261C,YPL069C
YBR261C,YPL088W
YBR261C,YPR113W
YBR264C,YOR370C
YBR270C,YDR259C
YBR270C,YER093C
YBR270C,YIL105C
YBR270C,YKR026C
YBR270C,YLR423C
YBR270C,YMR236W
YBR270C,YNL047C
YBR270C,YPL124W
YBR270C,YPL255W
YBR273C,YDL190C
YBR273C,YDR411C
YBR274W,YLR258W
YBR274W,YMR255W
YBR276C,YER081W
YBR278W,YDR121W
YBR279W,YOR123C
YBR281C,YDL153C
YBR281C,YNL287W
YBR284W,YDL238C
YBR284W,YML035C
YBR288C,YGR261C
YBR289W,YPL129W
YCL010C,YDR176W
YCL019W,YDR261WA
YCL019W,YDR261WB
YCL020W,YDR261WA
YCL020W,YDR510W
YCL020W,YFL002WA
YCL021WA,YPL094C
YCL024W,YKR048C
YCL028W,YCL028W
YCL028W,YCR060W
YCL028W,YGR142W
YCL028W,YHR034C
YCL028W,YKL040C
YCL028W,YLR291C
YCL028W,YML051W
YCL028W,YNL189W
YCL028W,YNL288W
YCL028W,YOL111C
YCL028W,YOL123W
YCL028W,YOR007C
YCL028W,YPL070W
YCL029C,YER016W
YCL032W,YDR032C
YCL032W,YLR362W
YCL032W,YLR423C
YCL033C,YKL103C
YCL033C,YOL082W
YCL039W,YMR135C
YCL040W,YCL040W
YCL040W,YDR516C
YCL040W,YML099C
YCL040W,YNL189W
YCL046W,YGL115W
YCL054W,YNL154C
YCL055W,YGL036W
YCL055W,YGL192W
YCL056C,YDL157C
YCL056C,YDR142C
YCL056C,YIL065C
YCL056C,YJL185C
YCL056C,YNL131W
YCL056C,YOR037W
YCL059C,YGL201C
YCL059C,YOR229W
YCL063W,YLR423C
YCL066W,YDR480W
YCL066W,YHR084W
YCL066W,YPL049C
YCR004C,YDR032C
YCR005C,YCR005C
YCR007C,YDL120W
YCR007C,YDL164C
YCR007C,YKR066C
YCR007C,YMR079W
YCR007C,YPL020C
YCR009C,YDR388W
YCR009C,YER125W
YCR009C,YMR232W
YCR011C,YNL154C
YCR020C,YCR020C
